2004-02-11,SU,0.03586744990160984
2004-02-11,GGG,0.055986019959656685

2004-02-11,CWT,0.08036699207550879
2004-02-11,BLL,0.01584317076439956
2004-02-11,APA,0.05231184773461406

2004-02-11,MATX,0.07752922914683302
2004-02-11,ROST,0.09747419820792014
2004-02-11,AXL,0.06687238690055763
2004-02-11,BRO,0.017488549073158666
2004-02-11,GFF,0.06343277374655654
2004-02-11,HUBB,0.02120045936163706
2004-02-11,HTLD,0.07765148316670079

2004-02-11,HGTXU,0.03918419122220307
2004-02-11,SHW,0.08227846409463768
2004-02-11,FRK,-0.02310377830456667
2004-02-11,SM,0.0684980388605092
2004-02-11,KSWS,-0.03533715717210706
2004-02-11,CRK,0.10496617620681126


2004-02-11,COKE,-0.015089172568745313
2004-02-11,JBHT,0.06658921093437264
2004-02-11,DLX,0.026646193903521187
2004-02-11,TTC,0.024495044418189726
2004-02-11,PCAR,0.01595864815109227
2004-02-11,SSP,0.05031989506984602

2004-02-11,LII,0.1602484386693246

2004-02-11,MGEE,0.034083614360605585
2004-02-11,CAA,0.07016805440437901
2004-02-11,BRL,-0.16666669978035686

2004-02-11,NJR,0.05904152929666262

2004-02-11,SR,0.033041117575118184
2004-02-11,RCI,0.0338042425131273
2004-02-11,AOS,0.05245906344923812
2004-02-11,ESRX,-0.021164741924356467
2004-02-11,SSD,0.026255433995922672
2004-02-11,ESE,0.07414182625180343

2004-02-11,SJT,0.014721281417350518
2004-02-11,MSA,0.03871924737700505
2004-02-11,MIDD,0.08493000309882404

2004-02-11,AWR,0.01544552038211644

2004-02-11,IFF,-0.009819504482168062

2004-02-11,NL,0.14385695418810984
2004-02-11,DHI,0.08641537295855373
2004-02-11,CRAI,0.17823766073996472

2004-02-11,BYD,0.3015873015873016
2004-02-11,FCFS,0.0813090357455084
2004-02-11,SWN,0.055500030517578125
2004-02-11,KNX,0.041666750295636046
2004-02-11,CHH,0.04070086787965144

2004-02-11,ATO,0.04975922019750545

2004-02-11,AEE,0.012956131641730817
2004-02-11,ARLP,0.024715878211024167
2004-02-11,SYK,0.014848742163516393

2004-02-11,JOE,0.02512819339067507


2004-02-11,MTH,0.08484375476837158

2004-02-11,IGT,0.04275136987769246





2004-02-25,GGG,0.004761968502384306
2004-02-25,SU,-0.02201621121134989
2004-02-25,CWT,0.005811968420305735
2004-02-25,BLL,-0.001402149304594813
2004-02-25,APA,0.020402939447589752
2004-02-25,ROST,0.027884580468285902
2004-02-25,MATX,-0.017251381931962184
2004-02-25,AXL,-0.050936353417945
2004-02-25,BRO,-0.008460632198627471
2004-02-25,HUBB,0.021989276321410678
2004-02-25,FRK,-0.05153299978442272
2004-02-25,GFF,-0.02329673347892347
2004-02-25,KSWS,0.024472569832699076
2004-02-25,SM,0.025303644245753043
2004-02-25,JBHT,-0.030570900013551672
2004-02-25,CRK,-0.008324614308695466
2004-02-25,HGTXU,-0.015120929171032027
2004-02-25,COKE,0.002892989976726268
2004-02-25,TTC,0.057389899914431775
2004-02-25,HTLD,-0.008968558853510666
2004-02-25,SSP,-0.024975131869535816
2004-02-25,MGEE,0.0015872773670015938
2004-02-25,DLX,-0.019371080698457166
2004-02-25,PCAR,-0.01950410950031234
2004-02-25,LII,0.008094960225143222
2004-02-25,ESE,-0.021276595744680882
2004-02-25,CAA,-0.0026231200454733816
2004-02-25,RCI,-0.024338576389263844
2004-02-25,NJR,-0.025348519019892546
2004-02-25,BRL,-0.04000002145767212
2004-02-25,SR,0.005541071532038533
2004-02-25,SSD,-0.004904122589562854
2004-02-25,ESRX,0.019230716590440178
2004-02-25,MSA,-0.0048270650155748385
2004-02-25,AOS,-0.055624266674942024
2004-02-25,NL,0.056842134709943704
2004-02-25,SJT,0.006701086117087307
2004-02-25,MIDD,0.0572082394844311
2004-02-25,AWR,-0.05269233997051537
2004-02-25,BYD,-0.03257171056072161
2004-02-25,HPOL,-0.023255901635817477
2004-02-25,ED,-0.007074426641943354
2004-02-25,IFF,-0.017204284315123886
2004-02-25,DHI,-0.010717824658727726

2004-02-25,CHH,0.037160585762310294
2004-02-25,SWN,-0.009367717066321002
2004-02-25,FCFS,-0.003627566077262445
2004-02-25,SHW,-0.03562486951012889
2004-02-25,JOE,0.0030022248741541357
2004-02-25,AEE,-0.00344085693359375
2004-02-25,INGR,-0.01321353060210817
2004-02-25,MTH,-0.010164346422103954
2004-02-25,AAIC,-0.0018552875695733162
2004-02-25,SYK,-0.011425388373412226
2004-02-25,FICO,-0.0479149996860595
2004-02-25,NKE,0.026642742133214048
2004-03-10,GGG,-0.06613511629262181
2004-03-10,SU,0.005601180533392425
2004-03-10,BLL,0.01646153376652637

2004-03-10,APA,-0.03000946282896577
2004-03-10,CWT,0.005490729264357785
2004-03-10,AXL,-0.056836091312141956
2004-03-10,ROST,-0.10151322140788432
2004-03-10,BRO,0.008556141223758917

2004-03-10,SHW,-0.01585014967602416
2004-03-10,GFF,-0.04197643010901908
2004-03-10,KSWS,-0.02810771913649812
2004-03-10,FRK,0.0021114542405482606
2004-03-10,COKE,-0.00038514337002359955
2004-03-10,MATX,-0.047577903190453075
2004-03-10,CRK,-0.03652521684275023
2004-03-10,ESRX,-0.009641151817901483
2004-03-10,TTC,-0.009600016276041679
2004-03-10,DLX,-0.009588722126504523
2004-03-10,PCAR,-0.06262698993848037
2004-03-10,MGEE,-0.023472623138518167
2004-03-10,SSP,0.004330339861053245
2004-03-10,RCI,-0.017250388822956486
2004-03-10,HTLD,-0.01188373937389764
